2025-09-15 09:45:57,702 - INFO - Event:DEVICE_DISCONNECTED | Details:Connection closed: 192.168.0.232:39598 | Status:SYSTEM
2025-09-15 09:45:57,703 - INFO - Event:DEVICE_UNREGISTERED | Details:Device disconnected: ZXRC21016024 | Status:SYSTEM
2025-09-15 09:46:01,057 - INFO - Event:DEVICE_CONNECTED | Details:Device connected: 192.168.0.232:39600 | Status:SYSTEM
2025-09-15 09:46:01,082 - INFO - Event:DEVICE_REGISTERED | Details:Device ZXRC21016024 connected from 192.168.0.232:39600 | Status:SYSTEM
2025-09-15 09:46:13,121 - INFO - Event:PROCESSING_BATCH | Details:Processing 1 records from device ZXRC21016024 | Status:SYSTEM
2025-09-15 09:46:19,751 - INFO - Event:PROCESSING_BATCH | Details:Processing 1 records from device ZXRC21016024 | Status:SYSTEM
2025-09-15 09:46:31,690 - INFO - Event:DEVICE_DISCONNECTED | Details:Connection closed: 192.168.0.232:39600 | Status:SYSTEM
2025-09-15 09:46:31,690 - INFO - Event:DEVICE_UNREGISTERED | Details:Device disconnected: ZXRC21016024 | Status:SYSTEM
2025-09-15 09:46:31,740 - INFO - Event:DEVICE_CONNECTED | Details:Device connected: 192.168.0.232:39602 | Status:SYSTEM
2025-09-15 09:46:31,820 - INFO - Event:DEVICE_REGISTERED | Details:Device ZXRC21016024 connected from 192.168.0.232:39602 | Status:SYSTEM
2025-09-15 09:46:31,893 - INFO - Event:PROCESSING_BATCH | Details:Processing 1 records from device ZXRC21016024 | Status:SYSTEM
2025-09-15 09:46:39,039 - INFO - Event:DEVICE_DISCONNECTED | Details:Connection closed: 192.168.0.232:39602 | Status:SYSTEM
2025-09-15 09:46:39,040 - INFO - Event:DEVICE_UNREGISTERED | Details:Device disconnected: ZXRC21016024 | Status:SYSTEM
2025-09-15 09:46:39,088 - INFO - Event:DEVICE_CONNECTED | Details:Device connected: 192.168.0.232:39604 | Status:SYSTEM
2025-09-15 09:46:39,117 - INFO - Event:DEVICE_REGISTERED | Details:Device ZXRC21016024 connected from 192.168.0.232:39604 | Status:SYSTEM
2025-09-15 09:47:29,127 - INFO - Event:DEVICE_DISCONNECTED | Details:Connection closed: 192.168.0.232:39604 | Status:SYSTEM
2025-09-15 09:47:29,127 - INFO - Event:DEVICE_UNREGISTERED | Details:Device disconnected: ZXRC21016024 | Status:SYSTEM
2025-09-15 09:49:03,218 - INFO - Event:APPLICATION_STOPPED | Details:Server stopped by user | Status:SYSTEM
2025-09-15 09:49:03,219 - INFO - Event:APPLICATION_SHUTDOWN | Details:Application shutting down | Status:SYSTEM
2025-09-15 09:49:34,289 - INFO - Event:DATABASE_INIT | Details:SQLite database initialized at /home/silpc-011/Desktop/adwaith/biometricservice/database/attendance_queue.db | Status:SYSTEM
2025-09-15 09:49:34,290 - INFO - Event:APPLICATION_STARTING | Details:Biometric server application starting | Status:SYSTEM
2025-09-15 09:49:34,290 - INFO - Event:SERVER_STARTING | Details:WebSocket server starting on 0.0.0.0:8190 | Status:SYSTEM
2025-09-15 09:49:34,302 - INFO - Event:RETRY_TASK_STARTED | Details:Queue retry task started | Status:SYSTEM
2025-09-15 09:49:34,303 - INFO - Event:SERVER_STARTED | Details:Server listening on 0.0.0.0:8190 | Status:SYSTEM
2025-09-15 09:49:34,371 - INFO - Event:DEVICE_CONNECTED | Details:Device connected: 192.168.0.232:58604 | Status:SYSTEM
2025-09-15 09:49:34,396 - INFO - Event:DEVICE_REGISTERED | Details:Device ZXRC21016024 connected from 192.168.0.232:58604 | Status:SYSTEM
2025-09-15 09:49:47,943 - INFO - Event:PROCESSING_BATCH | Details:Processing 1 records from device ZXRC21016024 | Status:SYSTEM
2025-09-15 09:49:51,850 - INFO - Event:PROCESSING_BATCH | Details:Processing 1 records from device ZXRC21016024 | Status:SYSTEM
2025-09-15 09:50:05,168 - INFO - Event:DEVICE_DISCONNECTED | Details:Connection closed: 192.168.0.232:58604 | Status:SYSTEM
2025-09-15 09:50:05,169 - INFO - Event:DEVICE_UNREGISTERED | Details:Device disconnected: ZXRC21016024 | Status:SYSTEM
2025-09-15 09:50:05,363 - INFO - Event:DEVICE_CONNECTED | Details:Device connected: 192.168.0.232:58606 | Status:SYSTEM
2025-09-15 09:50:05,536 - INFO - Event:DEVICE_REGISTERED | Details:Device ZXRC21016024 connected from 192.168.0.232:58606 | Status:SYSTEM
2025-09-15 09:50:05,613 - INFO - Event:PROCESSING_BATCH | Details:Processing 2 records from device ZXRC21016024 | Status:SYSTEM
2025-09-15 09:50:25,470 - INFO - Event:DEVICE_DISCONNECTED | Details:Connection closed: 192.168.0.232:58606 | Status:SYSTEM
2025-09-15 09:50:25,470 - INFO - Event:DEVICE_UNREGISTERED | Details:Device disconnected: ZXRC21016024 | Status:SYSTEM
2025-09-15 09:50:25,580 - INFO - Event:DEVICE_CONNECTED | Details:Device connected: 192.168.0.232:58608 | Status:SYSTEM
2025-09-15 09:50:25,674 - INFO - Event:DEVICE_REGISTERED | Details:Device ZXRC21016024 connected from 192.168.0.232:58608 | Status:SYSTEM
2025-09-15 09:50:55,675 - INFO - Event:DEVICE_DISCONNECTED | Details:Connection closed: 192.168.0.232:58608 | Status:SYSTEM
2025-09-15 09:50:55,675 - INFO - Event:DEVICE_UNREGISTERED | Details:Device disconnected: ZXRC21016024 | Status:SYSTEM
2025-09-15 09:50:55,888 - INFO - Event:DEVICE_CONNECTED | Details:Device connected: 192.168.0.232:58610 | Status:SYSTEM
